Refcode,metals,max_metal_coordination_n,metal_sbu_smile,linker_smile,n_sbu_point_of_extension,n_linker_point_of_extension,metal_cluster_smile,ligand_smile,n_channel,void_fraction,asa (A^2),av (A^3),pld (A),lcd (A),lfpd (A)
QIWQES,Cu,5,[Cu](O[C]=O)O[C]=O.O,N1=CC=[C]C=C1,4,2,[Cu].O,n1ccc(C(=O)[O])cc1,1,0.5,901.418,2721.06,11.85408,13.17824,13.17824
DEGJOP,Hg,4,[Hg](Br)Br,S(CCCCCSCc1ccccc1)Cc1ccccc1,2,2,[Hg](Br)Br,S(CCCCCSCc1ccccc1)Cc1ccccc1,1,0.222,195.546,242.571,6.73277,8.31204,8.31204
XOJXEA,Zn,4,[Zn]1(O[P]O[Zn](O[P]O[Zn@@](OP(O[Zn](OP([O])O[Zn@](O[P]O[Zn@](OP([O])O1)([O])O[C]=O)(O[C]=O)[O])O[C]=O)[O])([O])O[C]=O)O[C]=O)O[C]=O,[C]1=CC=[C]C=C1,18,3,[Zn],[O]P(=O)([O])c1ccc(C(=O)[O])cc1,0,0,0,0,1.74863,6.82644,6.82299
NOBTEF,Cu,5,[Cu](Cl)Cl.[Cl].[Cu]Cl,N1=C[N]N([CH]1)c1ccc(Cl)nn1,4,1,[Cu](Cl)Cl.[Cl].[Cu]Cl,N1=C[N]N([CH]1)c1ccc(Cl)nn1,0,0,0,0,0.8976,1.88916,1.80185
EDUVOO,Zn,4,[Zn]12O[C]O[Zn@]34O[C]O[Zn](O[C]O1)O[C]O[Zn@@](O[C]O3)(O[C]O2)O4,[C]1=Cc2c3c(=C1)ccc1c3c(=C[C]=C1)cc2,6,2,[Zn].O([Zn])[Zn].[Zn],[O]C(=O)c1cc2c3c(ccc4cc(C(=O)[O])cc(cc2)c34)c1,1,0.5546,7303.61,22539,10.8039,20.94686,20.94686
VODDAU,Ag,4,[Ag],n1cccc(c1)NC(=O)c1ccncc1,4,2,[Ag],n1cccc(c1)NC(=O)c1ccncc1,0,0,0,0,1.41539,4.83695,4.83695
NULFEI,Pb,5,[Pb]1(Br)O[C]O1.[O][C]O[Pb](O[C]=O)Br.[Pb].O=[C]O[Pb]O[C][O].[O][C]=O,[C]1=CC=[C]C=C1,6,2,[Pb]Br.[Pb],[O]C(=O)c1ccc(C(=O)[O])cc1,0,0,0,0,0.66276,2.0889,2.0889
FIHVEZ,Zn,4,[Zn],S=C1SC(=N[N]1)c1cccnc1,4,2,[Zn],S=C1SC(=N[N]1)c1cccnc1,1,0.0754,587.11,254.185,4.12153,6.49132,6.49132
SUXPOS,Cu,10,[C](=O)[O].[Cu]O[W]123O[W]456(O[W]78([O])O[W]9%10(O[W]%11%12(O[Si]%13(O[W]%14%15(O[W]%16(O2)(O[W](O%11)(O[W](O5)(O%12)(O1)[O])(O[W](O%13)(O%16)([O])(O9)O[W]([O])(O%10)(O[W](O4)(O7)(O%14)[O])O%15)[O])[O])(O3)[O])O6)(O8)[O])[O])[O].[Cu].[O][C][O].N1N=[C][C](N1)C(=O)O.O.O.O.O,N1C(=[C][N]N1)C(=O)O,9,3,[Cu]O[W]123O[W]456(O[W]78([O])O[W]9%10(O[W]%11%12(O[Si]%13(O[W]%14%15(O[W]%16(O2)(O[W](O%11)(O[W](O5)(O%12)(O1)[O])(O[W](O%13)(O%16)([O])(O9)O[W]([O])(O%10)(O[W](O4)(O7)(O%14)[O])O%15)[O])[O])(O3)[O])O6)(O8)[O])[O])[O].[Cu].N1N=C(C(=O)[O])[C](N1)C(=O)O.O.O.O.O,N1C(=C(C(=O)[O])[N]N1)C(=O)O,1,0.0634,524.338,251.883,3.9328,6.13122,6.13122
POWVEF,Zn,4,[Zn]1OP(O[Zn](O[P])[O])O[Zn]OP(O[Zn]([O])([O])O[P][O])O1,[C]1=CC=CC=C1,8,2,[Zn],[O]P(=O)([O])c1ccccc1,0,0,0,0,1.84899,2.51965,2.26432
UGOYOE,Pb,5,[Pb].ON(=O)=O,n1cn([B](n2ccnc2)(n2cncc2)n2ccnc2)cc1,4,4,[Pb].ON(=O)=O,n1cn([B](n2ccnc2)(n2cncc2)n2ccnc2)cc1,0,0,0,0,1.8806,2.86225,2.86225
QUTDAK,Cd,6,[Cd],n1n(ccc1)C(n1cccn1)(COCc1cc(ccc1)COCC(n1cccn1)(n1nccc1)n1nccc1)n1cccn1,6,6,[Cd],n1n(ccc1)C(n1cccn1)(COCc1cc(ccc1)COCC(n1cccn1)(n1nccc1)n1nccc1)n1cccn1,1,0.6704,1297.61,6384.78,16.21364,17.13242,16.99032
UFATEA01,Ni,8,[Ni]12(O[C]O1)O[C]O2,[C]1=CC=NC=C1,4,2,[Ni],O=C(c1ccncc1)[O],2,0.022,57.2144,18.1354,3.9867,5.33198,5.33198
IVOPAL,Cu,4,[Cu]C#N,Brc1c(n(Cn2c(c(Br)c(n2)C)C)nc1C)C,4,2,[Cu]C#N,Brc1c(n(Cn2c(c(Br)c(n2)C)C)nc1C)C,1,0.318,175.266,488.522,10.90593,12.57304,12.57304
XERNOA,Cu,6,I[Cu]1[Cu](I)[Cu](I)[Cu]([Cu]([Cu]1I)I)I,[N@@]12C[N@]3C[P@@](=O)(C1)C[N@@](C2)C3,6,3,I[Cu]1[Cu](I)[Cu](I)[Cu]([Cu]([Cu]1I)I)I,[N@@]12C[N@]3C[P@@](=O)(C1)C[N@@](C2)C3,0,0,0,0,1.84793,3.35178,3.35178
YOYQAG,Co,6,[Co]12O[C]O[Co](O[C]O1)O[C]O2,[C]1=CC(=CC(=C1)n1cnc2ccccc12)n1c2c(nc1)cccc2,9,3,[Co],[O]C(=O)c1cc(cc(n2c3c(nc2)cccc3)c1)n1cnc2ccccc12,1,0.0388,269.584,135.779,5.74381,6.86662,6.86662
CEJNIO,Ag,4,[Ag](ON(=O)=O)ON=O.O([Ag])N(=O)=O.[Ag](ON(=O)=O)O[Ag],S1CCOCC1,0,1,[Ag](ON(=O)=O)ON=O.O([Ag])N(=O)=O.[Ag](ON(=O)=O)O[Ag],S1CCOCC1,0,0,0,0,0.50914,1.64803,1.64803
SIRNAL,Cu,6,[Cu].O=N(=O)[O].O=N(=O)[O],c12c3c(cccc3C(=O)N(C1=O)Cc1ccncc1)c(c1ccncc1)cc2,4,2,[Cu].O=N(=O)[O].O=N(=O)[O],c12c3c(cccc3C(=O)N(C1=O)Cc1ccncc1)c(c1ccncc1)cc2,0,0,0,0,1.19376,3.88492,3.87136
BEBCUH02,Co,6,[Co](O[C]O[Co@@]1(O[C]O[Co](O[C])O[C]O[Co](O)(O[C]O[Co](O[C]=O)O[C])O)O[C]O[Co](O)(O[Co](O[C]O[Co]O[C]O1)O[C]O[Co](O)(O[C]O[Co]O[C]=O)(O)[O])(O)O[C]O[Co]O[C]=O)(O[C]=O)(O)O.[Co],[C]1=CC=CC=[C]1,16,2,[Co](O)O.[Co].[Co].[Co].O[Co]O.[Co].O[Co]O.[Co].[Co].[Co].[Co].O[Co]O,[O]C(=O)c1c(C(=O)[O])cccc1,0,0,0,0,1.42897,2.14666,2.13378
DOTSOV09,Cu,5,[Cu]1234[Cu](O[C]O1)(O[C]O2)(O[C]O3)O[C]O4,[C]1=C[C]=C[C]=C1,4,3,[Cu][Cu],[O]C(=O)c1cc(cc(c1)C(=O)[O])C(=O)[O],1,0.2596,3217.75,4709.37,6.76796,13.28255,13.28255
GAJVEU,Zn,4,[Zn]1(O[C]O[Zn]2(O[C]O[Zn](O[C]=O)(O[C]=O)O[C]O2)O[C]O1)(O[C]=O)O[C]=O,[C]1=CC=[C]C=C1,8,2,[Zn],O=C(c1ccc(C(=O)[O])cc1)[O],2,0.0956,1091.63,562.348,4.658,6.63839,6.54421
DUYSIA,Ag,4,[Ag],n1ccc([CH][N][N][C](c2ccccc2)[C](c2ccccc2)[N][N][CH]c2ccncc2)cc1,4,2,[Ag],n1ccc([CH][N][N][C](c2ccccc2)[C](c2ccccc2)[N][N][CH]c2ccncc2)cc1,0,0,0,0,1.49056,4.43737,4.43737
ZAXQOH,Tb,10,[Tb](ON(=O)=O)([O])([O])([O])([O])ON(=O)=O,[C]1=C[CH]N(CN2[CH]C=[C]C=C2)C=C1,8,2,[Tb]12(ON([O])O1)ON([O])O2,[O]C1=C[CH]N(CN2[CH]C=C([O])C=C2)C=C1,1,0.2522,978.194,913.263,5.58431,8.97416,8.97416
QARQOS,Cu,5,I[Cu]([Cu]I)[Cu](I)[Cu]I,n1ccc(cc1)SCc1c(C)c(CSc2ccncc2)c(C)c(c1C)CSc1ccncc1,6,3,I[Cu]([Cu]I)[Cu](I)[Cu]I,n1ccc(cc1)SCc1c(C)c(CSc2ccncc2)c(C)c(c1C)CSc1ccncc1,1,0.0548,216.803,113.748,4.24774,7.0412,7.0412
OPUYUU,Hg,4,[Hg](Cl)Cl.Cl[Hg]Cl.[Cl].[Hg]Cl,n1c2ccccc2ccc1[CH][N][N][CH]c1nc2c(cc1)cccc2,4,4,[Hg](Cl)Cl.Cl[Hg]Cl.[Cl].[Hg]Cl,n1c2ccccc2ccc1[CH][N][N][CH]c1nc2c(cc1)cccc2,0,0,0,0,1.16081,1.95047,1.95047
ROHKOR,Th,8,[C]1O[Th]23(O[C]O[Th]4(O[C]O[Th](O[C]O4)(O1)(O[C]O2)(O[C]=O)O[C]=O)(O[C]=O)(O[C]=O)O[C]O3)(O[C]=O)O[C]=O.O=[C]O[Th]123(O[C]O[Th]4(O[C]O[Th](O[C]O1)(O[C]=O)(O[C]=O)(O[C]O2)O[C]O4)(O[C]=O)(O[C]=O)O[C]O3)O[C]=O.[Th]123(O[C]O[Th]4(O[C]O[Th](O[C]O1)(O[C]O2)(O[C]=O)(O[C]=O)O[C]O4)(O[C]=O)(O[C]=O)O[C]O3)(O[C]=O)O[C]=O.[Th]123(O[C]O[Th]4(O[C]=O)(O[C]O[Th](O[C]=O)(O[C]O1)(O[C]O2)(O[C]O4)O[C]=O)(O[C]=O)O[C]O3)(O[C]=O)O[C]=O.[Th](O[C]=O)(O[C]=O)(O[C])([O])([O])O[C].[O][Th](O[C]=O)(O[C]=O)([O])([O])[O].[Th]123(O[C]O[Th]4(O[C]O[Th](O[C]O1)(O[C]=O)(O[C]O4)(O[C]=O)O[C]O2)(O[C]=O)(O[C]=O)O[C]O3)(O[C]=O)O[C]=O.[C]O[Th](O[C]=O)(O[C]=O)(O[C])(O[C])O[C].[Th]123(O[C]O[Th]4(O[C]=O)(O[C]=O)(O[C]O[Th](O[C]O1)(O[C]O2)(O[C]O4)(O[C]=O)O[C]=O)O[C]O3)(O[C]=O)O[C]=O.O=[C]O[Th]123(O[C]O[Th]4(O[C]O[Th](O[C]=O)(O[C]O4)(O[C]O1)(O[C]O2)O[C]=O)(O[C]=O)(O[C]=O)O[C]O3)O[C]=O,[C]1=CC=C(C=C1)OC1=CC=[C]C=C1,96,2,[Th],C(=O)([O])c1ccc(Oc2ccc(C(=O)[O])cc2)cc1,0,0,0,0,1.7816,6.49151,6.49151
WURYOZ,Cu,5,I[Cu]([Cu])I,n1ccnc([C@@H]2C[C@H](c3nccnc3)C[C@@H](C2)c2nccnc2)c1,4,4,I[Cu]([Cu])I,n1ccnc([C@@H]2C[C@H](c3nccnc3)C[C@@H](C2)c2nccnc2)c1,0,0,0,0,1.31802,5.10098,5.10098
ZALREM,Cd,10,[C]1O[Cd]2(O[C]=O)(O[C]O2)(O[C]=O)O1,[C]1=CC(=C[C]=C1)OCc1c(COC2=C[C]=C[C]=C2)cc(c(COC2=C[C]=C[C]=C2)c1)COC1=C[C]=C[C]=C1,4,8,[Cd],C(=O)([O])c1cc(OCc2cc(c(COc3cc(C(=O)[O])cc(c3)C(=O)[O])cc2COc2cc(cc(c2)C(=O)[O])C(=O)[O])COc2cc(C(=O)[O])cc(c2)C(=O)[O])cc(c1)C(=O)[O],2,0.0318,352.54,108.612,3.4119,5.71929,5.71929
MUGGIG01,La,22,[La]([O])(O)O[La](O[CH]O[La](O[CH])(O)(O[CH])(O[CH])O[CH])([O])([O])(O[CH][O])O,[CH3],6,1,[La][O].[La](O)(O)(O[CH]C)(O)O[C@@H](O[La]O[C@@H]([O])C)C,[O]C(C)[O],1,0.7788,107.296,2449.67,54.66468,54.79364,54.79364
XAJLUS01,Cu,4,[Cu]([P](c1ccccc1)(c1ccccc1)c1ccccc1)[P](c1ccccc1)(c1ccccc1)c1ccccc1,N#Cc1ccc(cc1)C#N,2,2,[Cu]([P](c1ccccc1)(c1ccccc1)c1ccccc1)[P](c1ccccc1)(c1ccccc1)c1ccccc1,N#Cc1ccc(cc1)C#N,1,0.2478,751.656,1041.52,8.98352,11.91367,11.80381
PIZHEN,W,10,[W]1234(O[Si@]56O[W]789(O[Ag])O[W]%10%11(O[W]%12(O[W]%13(O[W]([O])(O[W]%14(O[W]%15(O[Ag][Ag]O[W]%16%17(O[W]%18(O[W](O%16)O%18)(O[Ag])([O])O[W]([O])(O[W]([O])(O%17)[O])[O])[O])(O[W]%16(O[W]([O])(O%13)(O%12)O[W](O5)(O%16)(O[Ag])(O7)O[W](O%15)(O6)(O8)(O%14)[O])([O])O1)O2)(O[Ag])O%10)(O%11)O3)([O])O4)([O])O9)[O])[O].[Ag][Ag].[O][W]1234O[W]56(O[W]789O[Si@]%10(O[W]%11%12([O])(O[W]%13%14(O[W]%15([O])(O[W](O[W](O%13)([O])(O[W](O[Ag])(O%14)(O6)O9)O4)([O])(O3)O[W]3([O])(O[W](O%10)(O%11)(O7)(O[W@@](O1)(O5)O3)[O])O%15)O%12)[O])O8)O2)O[Ag].[Ag].[W]12([O])(O[Si]3O[W]45(O[W](O[W]([O])(O[W]6([O])(O1)O[W]O[W]([O])([O])(O3)(O6)O4)(O5)O2)[O])([O])[O])([O])[O].[Ag][Ag].[O][W]123(O[W]O[W]4(O[W]5([O])([O])(O[Si](O1)O[W]1([O])(O[W](O[W]([O])(O5)(O1)O4)[O])([O])O2)[O])([O])O3)[O].[Ag][Ag].[O].[W]12O[W]3([O])(O[W](O[W](O[W]([O])(O3)(O1)[O])([O])[O])([O])[O])([O])O2.[O].[O].[Ag].[O].[O].[O],[N]1=CN=NC=1C1=NN=C[N]1,32,4,[W]1234(O[Si@]56O[W]789(O[Ag])O[W]%10%11(O[W]%12(O[W]%13(O[W]([O])(O[W]%14(O[W]%15(O[Ag][Ag]O[W]%16%17(O[W]%18(O[W](O%16)O%18)(O[Ag])([O])O[W]([O])(O[W]([O])(O%17)[O])[O])[O])(O[W]%16(O[W]([O])(O%13)(O%12)O[W](O5)(O%16)(O[Ag])(O7)O[W](O%15)(O6)(O8)(O%14)[O])([O])O1)O2)(O[Ag])O%10)(O%11)O3)([O])O4)([O])O9)[O])[O].[Ag][Ag].[O][W]1234O[W]56(O[W]789O[Si@]%10(O[W]%11%12([O])(O[W]%13%14(O[W]%15([O])(O[W](O[W](O%13)([O])(O[W](O[Ag])(O%14)(O6)O9)O4)([O])(O3)O[W]3([O])(O[W](O%10)(O%11)(O7)(O[W@@](O1)(O5)O3)[O])O%15)O%12)[O])O8)O2)O[Ag].[Ag].[W]12([O])(O[Si]3O[W]45(O[W](O[W]([O])(O[W]6([O])(O1)O[W]O[W]([O])([O])(O3)(O6)O4)(O5)O2)[O])([O])[O])([O])[O].[Ag][Ag].[O][W]123(O[W]O[W]4(O[W]5([O])([O])(O[Si](O1)O[W]1([O])(O[W](O[W]([O])(O5)(O1)O4)[O])([O])O2)[O])([O])O3)[O].[Ag][Ag].[O].[W]12O[W]3([O])(O[W](O[W](O[W]([O])(O3)(O1)[O])([O])[O])([O])[O])([O])O2.[O].[O].[Ag].[O].[O].[O],[N]1=CN=NC=1C1=NN=C[N]1,0,0,0,0,2.01784,3.41342,3.41342
VENWOB,Au,6,[Au]12(c3c(F)c(F)c(F)c(F)c3F)([Ag@]34[C@@]5([C](F)C(=C(F)C(=C5F)F)F)[Au@]3([Ag@@]14[C@]12C(=C(C(=C([C]1F)F)F)F)F)c1c(F)c(F)c(F)c(F)c1F)[Au]12([Ag@@]3([Au@]4([Ag@@]23[C@]24[C](F)C(=C(F)C(=C2F)F)F)c2c(F)c(F)c(F)c(c2F)F)[C@]21C(=C(F)C(=C(F)[C]2F)F)F)c1c(F)c(F)c(F)c(F)c1F,N#CC,4,1,[Au]12(c3c(F)c(F)c(F)c(F)c3F)([Ag@]34[C@@]5([C](F)C(=C(F)C(=C5F)F)F)[Au@]3([Ag@@]14[C@]12C(=C(C(=C([C]1F)F)F)F)F)c1c(F)c(F)c(F)c(F)c1F)[Au]12([Ag@@]3([Au@]4([Ag@@]23[C@]24[C](F)C(=C(F)C(=C2F)F)F)c2c(F)c(F)c(F)c(c2F)F)[C@]21C(=C(F)C(=C(F)[C]2F)F)F)c1c(F)c(F)c(F)c(F)c1F,N#CC,1,0.1908,593.512,615.208,7.31036,8.8543,8.8543
VEBTEB01,Sn,5,[Sn]([O])(c1ccccc1)(c1ccccc1)c1ccccc1.[C]=O.[Sn](c1ccccc1)(c1ccccc1)(c1ccccc1)O[C]=O,[CH2]CC(=O)c1ccccc1,2,1,[Sn](c1ccccc1)(c1ccccc1)c1ccccc1,O=C(CCC(=O)c1ccccc1)[O],1,0.1442,517.266,350.669,6.93953,8.43391,8.43391
DEJMAH,Ag,3,[Ag]([P](c1ccccc1)(C1=c2ccccc2=[C]c2ccccc12)c1ccccc1)[P](c1c2c(c([P]([Ag]P(c3ccccc3)c3ccccc3)(c3ccccc3)c3ccccc3)c3c1cccc3)cccc2)(c1ccccc1)c1ccccc1,N#CC,2,1,[Ag]([P](c1ccccc1)(C1=c2ccccc2=[C]c2ccccc12)c1ccccc1)[P](c1c2c(c([P]([Ag]P(c3ccccc3)c3ccccc3)(c3ccccc3)c3ccccc3)c3c1cccc3)cccc2)(c1ccccc1)c1ccccc1,N#CC,1,0.337,439.615,1178.66,11.68888,12.37162,12.37162
SAQLUS01,Zn,6,[Zn]ON(=O)=O.O=N(=O)[O],N1=C[N]N([CH]1)Cc1ccc(cc1)Cn1ncnc1,4,2,[Zn]ON(=O)=O.O=N(=O)[O],N1=C[N]N([CH]1)Cc1ccc(cc1)Cn1ncnc1,0,0,0,0,1.37828,2.24269,2.24269
WAHKOI,Li,4,[O][C]=O.[Li]O[C]=O.[Li]O[C]=O.[O][C]=O.[O][C]=O.[O][C]=O,[C]1=CC=C(C=C1)N(C1=CC=[C]C=C1)C1=CC=[C]C=C1,6,3,[Li],[O]C(=O)c1ccc(cc1)N(c1ccc(cc1)C(=O)[O])c1ccc(C(=O)[O])cc1,2,0.1244,1042.11,812.397,4.14585,8.60462,8.60462
ZEFRIN,Li,6,O=[C][O].[Li]O[C]O[Li].[O].[C]O[Li].O=[C][O].[Li],[C]1=CC=C(C=C1)OC1=CC=[C]C=C1,4,2,[Li][Li],[O]C(=O)c1ccc(cc1)Oc1ccc(C(=O)[O])cc1,0,0,0,0,0.8741,1.46665,1.46665
KINNOM,Cu,4,[Cu],Fc1c(F)c([C](C#N)C#N)c(c(c1[C](C#N)C#N)F)F,4,4,[Cu],Fc1c(F)c([C](C#N)C#N)c(c(c1[C](C#N)C#N)F)F,1,0.2216,699.332,679.81,8.46878,9.1802,9.1802
OFERUN08,Zn,4,[Zn],N1=C(C)[N]C=C1,4,2,[Zn],N1=C(C)[N]C=C1,0,0,0,0,1.75796,3.7674,3.7674
AQOHPB,Pb,6,[Pb](O[C]=O)[O].[Pb]1(O[C]O1)O[C]=O.O.[OH].[H].O=[C],[C]1=CC=C(O)C=C1,4,1,[Pb].O.[Pb].O,[O]C(=O)c1ccc(O)cc1,1,0.0832,246.731,124.656,5.01731,6.21509,6.21509
TATCEZ,Er,15,[Er](O)O[S@@](=O)O[Er](O)O.O[Er](O)(O)(O)(O)O[S@@](=O)[O].[Er](O)(O)(O)O.[Er](O)OS(=O)O[Er]O.O=S(=O)=O,[C]1=CC=CC2=C1C=CC=[C]2,6,0,[Er](O)O.O[Er](O)O.[Er](O)(O)O.[Er]O.O[Er]O.[Er](O)(O)O,[O]S([O])(c1cccc2c1cccc2S([O])([O])[O])[O],0,0,0,0,0.90509,2.27632,2.27632
BEDZAL,Sm,14,[Sm]1(O[C]=O)(O[C]O[Sm]2(O[C]O1)(O[C]O2)[O])(O[C])O[C]=O.O.O,[CH3],6,1,[Sm][Sm].O.O,O=C(C)[O],0,0,0,0,3.35754,4.59228,4.59228
OKIXIQ02,Cd,6,[Cd],n1(c(nnc1c1cccc(c2ccncc2)c1)c1cc(c2ccncc2)ccc1)N,6,3,[Cd],n1(c(nnc1c1cccc(c2ccncc2)c1)c1cc(c2ccncc2)ccc1)N,2,0.0184,345.748,100.801,3.81551,5.00645,5.00645
GIPQII,Ag,4,[Ag]([P](c1ccccc1)([CH2])c1ccccc1)C#N.[CH2][As](c1ccccc1)c1ccccc1.[Ag]([P](c1ccccc1)(c1ccccc1)CC[As](c1ccccc1)c1ccccc1)C#N,n1ccccc1,2,1,[Ag]([P](c1ccccc1)([CH2])c1ccccc1)C#N.[CH2][As](c1ccccc1)c1ccccc1.[Ag]([P](c1ccccc1)(c1ccccc1)CC[As](c1ccccc1)c1ccccc1)C#N,n1ccccc1,1,0.3066,350.136,881.784,10.34463,10.83606,10.83606
KACCEW,Sn,5,[Sn](C)(C)(C)O[S@](N[S]([O])[O])[O].[Sn](C)(C)(C)O[S@@]([O])N[S]([O])[O],[CH3],4,1,[Sn](C)(C)C,O=S(=O)(NS(=O)(=O)C)C,1,0.1188,253.15,141.751,5.10637,6.43236,5.86155
QADKEL03,Co,6,[O][C]=O.[Co]O[C]O[Co]123(O[Co](O[Co]O[C]O3)O[C]O[Co]([O])O[C]=O)O[C]O[Co@@](O[C])([O])O[C]O[Co@](O[C]O1)(O[C])O[Co@]([O])(O[C])O[C]O[Co@@](O[C]O[Co](O[C]=O)[O])(O[C])O2.O=[C][O],[CH2][CH2],16,2,[Co]O[Co]O[Co].[Co].[Co],O=C(CCC(=O)[O])[O],0,0,0,0,1.1675,1.88949,1.88947
XAYMUF,Ag,4,[Ag],n1ccncc1c1nccnc1,4,4,[Ag],n1ccncc1c1nccnc1,1,0.102,446.354,184.969,4.46769,5.75807,5.75807
GIQMOL,Ag,2,[Ag],c1cc(C(=O)c2cnccc2)ccn1,2,2,[Ag],c1cc(C(=O)c2cnccc2)ccn1,0,0,0,0,3.48221,4.9405,4.9405
JOTWEX,Co,6,[Co](O[C]=O)O[C]=O,n1cn(cc1)C1=[C]C=C(n2cncc2)[C]=C1,4,4,[Co],n1cn(cc1)c1c(cc(n2cncc2)c(C(=O)[O])c1)C(=O)[O],0,0,0,0,0.55374,1.70096,1.70073
SURKUN01,Zr,12,[Zr]1234(O[C]O[Zr]56(O[Zr](O1)(O[Zr](O[C]=O)(O[C]=O)(O5)O[Zr](O[C]=O)O[C]=O)(O[C]O6)O[C]O3)(O2)O4)O[Zr](O[C]=O)O[C]=O.O=[C][O].O=[C][O].O=[C][O],[C]1=CC=[C]C=C1,12,2,[Zr]12O[Zr@]3(O[Zr@@](O1)(O[Zr](O2)O[Zr])O3)O[Zr],[O]C(=O)c1ccc(cc1)C(=O)[O],1,0.0754,1165.26,674.65,3.83143,8.71483,8.71483
YAQZUN,U,9,[U]=O.[O][C]=O.[U]=O.[O][C]=O.[U]=O.[O][C]=O.O=[C].[O].[U]=O.O=[C][O].[O][C]=O.[O][C]=O.O.O.[H].O.[H].O.O.O=[C].[O].O.[H].O.O.[H],[C]1=[C]C=[C][C]=C1,8,4,[U]=O.O.O.[H],O=C(c1c(C(=O)[O])cc(c(C(=O)[O])c1)C(=O)[O])[O],0,0,0,0,2.04797,2.7877,2.7877
IODOCU,Cu,6,I[Cu].[Cu]([Cu]I)I.[Cu]I,n1c(cccc1)C,2,1,I[Cu].[Cu]([Cu]I)I.[Cu]I,n1c(cccc1)C,1,0.32,105.502,319.293,10.7283,11.22723,11.22723
SAHYIK,Zn,4,[Zn]12O[C]O[Zn@]34O[Zn@](O[C]O[Zn](O[C]O3)O[C]O1)(O[C]O4)O[C]O2,[C]1=CC=[C]C=C1,6,2,[Zn].O([Zn])[Zn].[Zn],O=C(c1ccc(C(=O)[O])cc1)[O],1,0.394,3686.93,6663.82,8.05132,14.943,14.943
OKIXIQ01,Cd,6,[Cd],c1cc(c2cc(c3n(N)c(nn3)c3cc(c4ccncc4)ccc3)ccc2)ccn1,6,3,[Cd],c1cc(c2cc(c3n(N)c(nn3)c3cc(c4ccncc4)ccc3)ccc2)ccn1,2,0.0174,337.013,95.0077,3.80283,4.98557,4.98557
XIJQOX,Zn,7,[Zn]1(ON([O])O1)ON(=O)=O,n1ccc(c2ccncc2)cc1,3,2,[Zn]1(ON([O])O1)ON(=O)=O,n1ccc(c2ccncc2)cc1,1,0.4486,563.344,1318.48,9.2774,13.22745,13.22745
PAZTEQ,Ag,2,[Ag],c1cc(ccn1)c1ccncc1,2,2,[Ag],c1cc(ccn1)c1ccncc1,1,0.8592,317.107,3791.69,20.49707,21.49258,21.49258
GISKUQ,Li,4,[Li]Br.[Li]Br,N#CN(C)C,2,1,[Li]Br.[Li]Br,N#CN(C)C,1,0.0484,121.124,31.398,4.44353,4.90276,4.90276
AXINIF,Co,6,[Co]123O[C]O[Co]4(O[C]O4)(O[Co]4(O[C]O4)(O[C]O1)O[C]O2)O[C]O3.O.[H],[C]1=CC=C(C=C1)c1cc(C2=CC=[C]C=C2)cc(c1)C1=CC=[C]C=C1,6,3,[Co].O([Co])[Co].O.[H],[O]C(=O)c1ccc(c2cc(cc(c3ccc(C(=O)[O])cc3)c2)c2ccc(C(=O)[O])cc2)cc1,1,0.5084,1688.28,4784.73,12.52657,14.28585,14.28585
HATXEH02,Fe,6,[Fe],n1cn(nn1)CC(Cn1cnnn1)Cn1cnnn1,6,3,[Fe],n1cn(nn1)CC(Cn1cnnn1)Cn1cnnn1,0,0,0,0,2.06993,4.17476,4.13578
VEBNUN,Ag,5,[Ag]ON(=O)=O.[Ag].O=N(=O)[O],[N]([C]1N(CCN1C)C)C1=C[C@H](C(=C[C@@H]1[N][C]1N(C)CCN1C)[N][C]1N(C)CCN1C)[N][C]1N(CCN1C)C,4,4,[Ag]ON(=O)=O.[Ag].O=N(=O)[O],[N]([C]1N(CCN1C)C)C1=C[C@H](C(=C[C@@H]1[N][C]1N(C)CCN1C)[N][C]1N(C)CCN1C)[N][C]1N(CCN1C)C,0,0,0,0,1.53519,3.61064,3.49161
DAVMIY,Cu,5,I[Cu][Cu]I,n1cc(cnc1)c1cncnc1,4,4,I[Cu][Cu]I,n1cc(cnc1)c1cncnc1,0,0,0,0,1.10309,1.60122,1.55536
LIGWUW,Zn,4,[Zn]1(O[C]=O)(O[C]O[Zn]2(O[C]O[Zn](O[C]O2)(O[C]=O)O[C]=O)O[C]O1)O[C]=O,[C]1=CC=[C]C=C1,8,2,[Zn],O=C(c1ccc(cc1)C(=O)[O])[O],2,0.1058,1009.97,619.032,4.88176,6.92425,6.92425
LUYMOJ,Zn,6,[Zn]ON(=O)=O.O=N(=O)[O],n1ccc([C@H]2[C@H]([C@@H]([C@@H]2c2ccncc2)c2ccncc2)c2ccncc2)cc1,4,4,[Zn]ON(=O)=O.O=N(=O)[O],n1ccc([C@H]2[C@H]([C@@H]([C@@H]2c2ccncc2)c2ccncc2)c2ccncc2)cc1,0,0,0,0,3.29873,4.88277,4.88101
EXOFIH,In,12,[In](O[C]=O)(O[C]=O)O[C]=O.[C](=O)[O],[C]1=C[C]=[C]C=[C]1,4,4,[In],C(=O)([O])c1cc(C(=O)[O])c(C(=O)[O])cc1C(=O)[O],3,0.0148,137.856,19.8664,4.17818,4.30249,4.30249
