Refcode,metals,max_metal_coordination_n,metal_sbu_smile,linker_smile,n_sbu_point_of_extension,n_linker_point_of_extension,metal_cluster_smile,ligand_smile,n_channel,void_fraction,asa (A^2),av (A^3),pld (A),lcd (A),lfpd (A)
BARROE,Sn,5,[Sn](C)O[C]O[Sn](C)(C)C.[CH2].[H].O=[C][O].[CH].[H].[H],[CH2]Sc1ccc(cc1)F,2,1,[Sn](C)(C)C,O=C([O])CSc1ccc(F)cc1,1,0.1516,304.907,213.576,6.16417,7.10745,7.06611
EDAPAC,Cu,4,[Cu]C#N,[N]([N]c1ccccc1C(=O)OC)[N]c1ncccc1,4,2,[Cu]C#N,[N]([N]c1ccccc1C(=O)OC)[N]c1ncccc1,1,0.0578,280.545,85.7649,4.08989,5.33531,5.33531
VUPSAB,Ag,4,[Ag]([P](c1ccccc1)(c1ccccc1)c1cc(cc(c1)P(c1ccccc1)c1ccccc1)c1cccnc1)[P](c1cc(cc([P]([Ag])(c2ccccc2)c2ccccc2)c1)c1cccnc1)(c1ccccc1)c1ccccc1.O=S(=O)=O.O=S(=O)=O,[C](F)(F)F,6,1,[Ag]([P](c1ccccc1)(c1ccccc1)c1cc(cc(c1)P(c1ccccc1)c1ccccc1)c1cccnc1)[P](c1cc(cc([P]([Ag])(c2ccccc2)c2ccccc2)c1)c1cccnc1)(c1ccccc1)c1ccccc1,[O]S([O])([O])C(F)(F)F,0,0,0,0,1.16638,4.54082,4.54082
BOMGIV,Ag,6,[Ag]O[Ag](O[C]O[Ag]O[C]=O)O[C].[Ag](O[C])(O[C]O[Ag]O[C]O[Ag]1[Ag](O[C]O[Ag])O[C]O1)[O],[C]1=[C]C=C(Cl)C(=C1)Cl,8,2,[Ag][Ag].[Ag].[Ag].[Ag].[Ag].[Ag][Ag],O=C([O])c1c(C(=O)[O])cc(Cl)c(Cl)c1,0,0,0,0,1.31816,1.77503,1.77068
XARDOM,Zn,6,[Zn]([O])([O])([O])([O])([O])[O],[C]1[C][C](F)[C][C][C]1F,6,4,[Zn],O=C1C(=O)[C](F)C(=O)C(=O)[C]1F,1,0.2834,446.832,462.31,7.91664,9.14568,9.14568
ALIVOH,Cd,6,[Cd](I)I,N1=C[N]N([CH]1)Cc1ccc(cc1)c1ccc(cc1)Cn1ncnc1,4,2,[Cd](I)I,N1=C[N]N([CH]1)Cc1ccc(cc1)c1ccc(cc1)Cn1ncnc1,0,0,0,0,1.02009,3.08196,3.08196
POMTOB,Cu,4,[Cu](ON(=O)=O)ON(=O)=O,C(Sc1scnn1)CSc1scnn1,2,2,[Cu](ON(=O)=O)ON(=O)=O,C(Sc1scnn1)CSc1scnn1,0,0,0,0,0.83881,1.68905,1.68905
NAYXOC,Tb,11,[P]O[Tb]1(O[C][O])(O[C]O[Tb](O[C]O1)(O[C]=O)(O[C][O])O[P])O[C]=O.O.O,[C]1=CC=[C]C=C1,14,2,[Tb].O,P(=O)(c1ccc(C(=O)[O])cc1)(c1ccc(C(=O)[O])cc1)c1ccc(C(=O)[O])cc1,2,0.104,1015.14,704.889,4.20653,8.45391,8.44207
MIZLIR01,Cu,5,I[Cu][Cu]I,n1cccnc1SCSc1ncccn1,4,2,I[Cu][Cu]I,n1cccnc1SCSc1ncccn1,0,0,0,0,0.85364,1.77584,1.44103
SAZPIV,Eu,14,[Eu]1(O[C]=O)(O[C]=O)(O[C]O1)O[CH]N(C)C.[Eu]1(O[C]O1)(O[CH]N(C)C)(O[C]=O)O[C]=O.O.O,[C]1=CC=CC=C1OC1=CC(=C[C]=C1)OC1=CC=CC=[C]1,10,3,[Eu](=[Eu]O[CH]N(C)C)O[CH]N(C)C.O.O,[O]C(=O)c1ccccc1Oc1cc(cc(c1)C(=O)[O])Oc1c(C(=O)[O])cccc1,3,0.0372,701.05,465.328,6.6591,7.99506,7.99506
